variant,image,seconds,token_set_accuracy,char_accuracy,chars_out,status,error
tess-eng-psm3-raw,IMG_2172.jpeg,1.456,0.5241,0.2544,222,ok,
tess-eng-psm3-raw,IMG_2174.jpeg,1.57,0.3121,0.1875,102,ok,
tess-eng-psm3-raw,IMG_2175.jpeg,2.895,0.3482,0.2104,1134,ok,
tess-eng-psm3-raw,IMG_2176.jpeg,7.918,0.4137,0.2407,4212,ok,
tess-eng-psm3-raw,IMG_2177.jpeg,1.352,0.4081,0.2469,197,ok,
tess-eng-psm3-raw,IMG_2178.jpeg,1.919,0.3064,0.1605,455,ok,
tess-eng-psm3-raw,IMG_2180.jpeg,1.051,0.9474,0.1098,46,ok,
tess-deu-psm3-raw,IMG_2172.jpeg,1.449,0.5075,0.2404,209,ok,
tess-deu-psm3-raw,IMG_2174.jpeg,1.507,0.3314,0.2321,98,ok,
tess-deu-psm3-raw,IMG_2175.jpeg,3.061,0.3581,0.2188,1086,ok,
tess-deu-psm3-raw,IMG_2176.jpeg,8.106,0.3918,0.2334,4092,ok,
tess-deu-psm3-raw,IMG_2177.jpeg,1.363,0.4074,0.25,181,ok,
tess-deu-psm3-raw,IMG_2178.jpeg,1.854,0.289,0.1566,431,ok,
tess-deu-psm3-raw,IMG_2180.jpeg,1.052,0.96,0.1069,45,ok,
tess-fra-psm3-raw,IMG_2172.jpeg,1.473,0.5542,0.2369,221,ok,
tess-fra-psm3-raw,IMG_2174.jpeg,1.494,0.3372,0.2054,97,ok,
tess-fra-psm3-raw,IMG_2175.jpeg,3.049,0.3533,0.2172,1056,ok,
tess-fra-psm3-raw,IMG_2176.jpeg,8.239,0.4027,0.2444,3976,ok,
tess-fra-psm3-raw,IMG_2177.jpeg,1.35,0.386,0.25,183,ok,
tess-fra-psm3-raw,IMG_2178.jpeg,1.843,0.3002,0.1592,426,ok,
tess-fra-psm3-raw,IMG_2180.jpeg,1.061,0.96,0.1069,45,ok,
tess-latin-psm3-raw,IMG_2172.jpeg,1.837,0.5316,0.2334,210,ok,
tess-latin-psm3-raw,IMG_2174.jpeg,1.761,0.3353,0.1964,97,ok,
tess-latin-psm3-raw,IMG_2175.jpeg,3.713,0.3211,0.2027,1043,ok,
tess-latin-psm3-raw,IMG_2176.jpeg,9.551,0.3593,0.2269,4006,ok,
tess-latin-psm3-raw,IMG_2177.jpeg,1.675,0.3971,0.2469,168,ok,
